dteday,R_Score,F_Score,M_Score,RFM_Segment
2011-01-01,1,1,1,111
2011-01-02,1,1,1,111
2011-01-03,1,1,1,111
2011-01-04,1,1,1,111
2011-01-05,1,1,1,111
2011-01-06,1,1,1,111
2011-01-07,1,1,1,111
2011-01-08,1,1,1,111
2011-01-09,1,1,1,111
2011-01-10,1,1,1,111
2011-01-11,1,1,1,111
2011-01-12,1,1,1,111
2011-01-13,1,1,1,111
2011-01-14,1,1,1,111
2011-01-15,1,1,1,111
2011-01-16,1,1,1,111
2011-01-17,1,1,1,111
2011-01-18,1,1,1,111
2011-01-19,1,1,1,111
2011-01-20,1,1,1,111
2011-01-21,1,1,1,111
2011-01-22,1,1,1,111
2011-01-23,1,1,1,111
2011-01-24,1,1,1,111
2011-01-25,1,1,1,111
2011-01-26,1,1,1,111
2011-01-27,1,1,1,111
2011-01-28,1,1,1,111
2011-01-29,1,1,1,111
2011-01-30,1,1,1,111
2011-01-31,1,1,1,111
2011-02-01,1,1,1,111
2011-02-02,1,1,1,111
2011-02-03,1,1,1,111
2011-02-04,1,1,1,111
2011-02-05,1,1,1,111
2011-02-06,1,1,1,111
2011-02-07,1,1,1,111
2011-02-08,1,1,1,111
2011-02-09,1,1,1,111
2011-02-10,1,1,1,111
2011-02-11,1,1,1,111
2011-02-12,1,1,1,111
2011-02-13,1,1,1,111
2011-02-14,1,1,1,111
2011-02-15,1,1,1,111
2011-02-16,1,1,1,111
2011-02-17,1,1,1,111
2011-02-18,1,1,1,111
2011-02-19,1,1,1,111
2011-02-20,1,1,1,111
2011-02-21,1,1,1,111
2011-02-22,1,1,1,111
2011-02-23,1,1,1,111
2011-02-24,1,1,1,111
2011-02-25,1,1,1,111
2011-02-26,1,1,1,111
2011-02-27,1,1,1,111
2011-02-28,1,1,1,111
2011-03-01,1,1,1,111
2011-03-02,1,1,1,111
2011-03-03,1,1,1,111
2011-03-04,1,1,1,111
2011-03-05,1,1,1,111
2011-03-06,1,1,1,111
2011-03-07,1,1,1,111
2011-03-08,1,1,1,111
2011-03-09,1,1,1,111
2011-03-10,1,1,1,111
2011-03-11,1,1,1,111
2011-03-12,1,1,1,111
2011-03-13,1,1,1,111
